#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Balneolales bacterium	Bacteria	FCB group	Bacteroidota/Chlorobiota group	5.3554	-	-	-	44
Balneolales bacterium ANBcel1	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.32436	-	-	-	1
Balneolia bacterium	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.99362	-	-	-	27
Bamaga virus	Viruses	Other	Flaviviridae	0.010203	1	-	-	1
Bamboo mosaic virus	Viruses	Other	Alphaflexiviridae	0.006366	1	-	-	1
Bamboo mosaic virus satellite RNA	Viruses	Satellites	unclassified	0.000836	1	-	-	1
Bamboo rat circovirus	Viruses	Other	Circoviridae	0.002112	1	-	-	8
Bamboo rat parvovirus	Viruses	Other	Parvoviridae	0.004758	1	-	-	1
Bambusicola thoracicus	Eukaryota	Animals	Birds	1032.3	-	-	-	1
Baminivirus	Viruses	Other	Geminiviridae	0.002806	1	-	-	1
Banana bract mosaic virus	Viruses	Other	Potyviridae	0.009711	1	-	-	1
Banana bunchy top alphasatellite 1	Viruses	Other	Alphasatellitidae	0.001096	1	-	-	1
Banana bunchy top alphasatellite 2	Viruses	Other	Alphasatellitidae	0.0011	1	-	-	1
Banana bunchy top alphasatellite 3	Viruses	Other	Alphasatellitidae	0.001093	1	-	-	1
Banana bunchy top virus	Viruses	Other	Nanoviridae	0.006407	6	-	-	126
Banana bunchy top virus associated alphasatellite 4	Viruses	Other	Alphasatellitidae	0.001105	1	-	-	1
Banana mild mosaic virus	Viruses	Other	Betaflexiviridae	0.007352	1	-	-	1
Banana streak CA virus	Viruses	Other	Caulimoviridae	0.007408	1	-	-	1
Banana streak GF virus	Viruses	Other	Caulimoviridae	0.007263	1	-	-	1
Banana streak IM virus	Viruses	Other	Caulimoviridae	0.007769	1	-	-	1
Banana streak MY virus	Viruses	Other	Caulimoviridae	0.00765	1	-	-	1
Banana streak OL virus	Viruses	Other	Caulimoviridae	0.007389	1	-	-	1
Banana streak Peru virus	Viruses	Other	Caulimoviridae	0.007432	1	-	-	1
Banana streak UA virus	Viruses	Other	Caulimoviridae	0.007519	1	-	-	1
Banana streak UI virus	Viruses	Other	Caulimoviridae	0.007458	1	-	-	1
Banana streak UL virus	Viruses	Other	Caulimoviridae	0.007401	1	-	-	1
Banana streak UM virus	Viruses	Other	Caulimoviridae	0.007532	1	-	-	1
Banana streak virus	Viruses	Other	Caulimoviridae	0.007769	1	-	-	2
Banana streak VN virus	Viruses	Other	Caulimoviridae	0.007801	1	-	-	1
Banana virus X	Viruses	Other	Betaflexiviridae	0.002917	1	-	-	1
Bandavirus dabieense	Viruses	Other	Phenuiviridae	0.011492	3	-	-	43
Bandavirus guertuense	Viruses	Other	Phenuiviridae	0.011481	3	-	-	1
Bandavirus kismaayoense	Viruses	Other	Phenuiviridae	0.011548	3	-	-	1
Bandavirus zwieselense	Viruses	Other	Phenuiviridae	0.011504	3	-	-	1
Bandicoot papillomatosis carcinomatosis virus type 1	Viruses	Other	Papillomaviridae	0.007295	1	-	-	1
Bandicoot papillomatosis carcinomatosis virus type 2	Viruses	Other	Papillomaviridae	0.007277	1	-	-	1
Bandra megavirus	Viruses	Other	Mimiviridae	1.23589	-	-	-	1
Bangali torovirus	Viruses	Other	Tobaniviridae	0.02885	1	-	-	1
Bangoran virus	Viruses	Other	Rhabdoviridae	0.014053	1	-	-	1
Bank vole polyomavirus	Viruses	Other	Polyomaviridae	0.005032	1	-	-	1
Banmivirus MoaBV	Viruses	Other	Betaflexiviridae	0.007364	1	-	-	1
Banna virus	Viruses	Other	Sedoreoviridae	0.020683	12	-	-	5
Banna-like virus strain Balaton/2010/HUN	Viruses	Other	Sedoreoviridae	0.019559	11	-	-	1
Banzi virus	Viruses	Other	Flaviviridae	0.010182	1	-	-	1
Barbacena virus Y	Viruses	Other	Potyviridae	0.009837	1	-	-	1
Barbarea vulgaris	Eukaryota	Plants	Land Plants	167.352	-	-	-	2
Barbatosphaeria neglecta	Eukaryota	Fungi	Ascomycetes	35.9373	-	-	-	1
Barbatula barbatula	Eukaryota	Animals	Fishes	549.966	25	1	-	3
Barbavirus barba21A	Viruses	Other	Other	0.080361	1	-	-	1
Barbavirus barba5S	Viruses	Other	Other	0.082744	1	-	-	1
Barbavirus barba8S	Viruses	Other	Other	0.08192	1	-	-	1
Barbel circovirus	Viruses	Other	Circoviridae	0.001957	1	-	-	2
Barbus barbus	Eukaryota	Animals	Fishes	1584.93	50	1	-	4
Barca bicolor	Eukaryota	Animals	Insects	4.84573	-	-	-	1
Barfin flounder nervous necrosis virus	Viruses	Other	Nodaviridae	0.004534	2	-	-	2
Barfin flounder virus BF93Hok	Viruses	Other	Nodaviridae	0.004533	2	-	-	1
Bariatricus	Bacteria	Terrabacteria group	Bacillota	3.96975	-	-	-	17
Bariatricus massiliensis	Bacteria	Terrabacteria group	Bacillota	4.21945	-	-	-	7
Bark beetle associated circular virus 1	Viruses	Other	Genomoviridae	0.002237	1	-	-	1
Bark beetle-associated densovirus	Viruses	Other	Bidnaviridae	0.003486	1	-	-	1
Bark beetle-associated genomovirus 1	Viruses	Other	Genomoviridae	0.002123	1	-	-	1
Bark beetle-associated genomovirus 2	Viruses	Other	Genomoviridae	0.002106	1	-	-	1
Bark beetle-associated genomovirus 3	Viruses	Other	Genomoviridae	0.002125	1	-	-	1
Bark beetle-associated genomovirus 4	Viruses	Other	Genomoviridae	0.002122	1	-	-	1
Bark beetle-associated genomovirus 5	Viruses	Other	Genomoviridae	0.002205	1	-	-	1
Bark beetle-associated genomovirus 6	Viruses	Other	Genomoviridae	0.002264	1	-	-	1
